date,close_price,k_day_1_pred,k_day_2_pred,k_day_3_pred,k_day_4_pred,k_day_5_pred,k_day_6_pred,k_day_7_pred,k_day_8_pred,k_day_9_pred,k_day_10_pred,k_day_11_pred,k_day_12_pred,k_day_13_pred
1/1/2018,201.0700073,,,,,,,,,,,,,
1/2/2018,205.0500031,191.0749969,,,,,,,,,,,,
1/3/2018,205.6300049,192.2450027,193.5500031,,,,,,,,,,,
1/4/2018,209.9900055,181.8300018,182.9700012,182.9700012,,,,,,,,,,
1/5/2018,209.9900055,184.1349945,178.5649948,186.2350006,178.5649948,,,,,,,,,
1/6/2018,209.9900055,184.1349945,176.4850006,176.4850006,176.4850006,176.4850006,,,,,,,,
1/7/2018,212.0500031,186.2350006,180.5699997,186.5299988,190.5050049,186.4400024,191.6450043,,,,,,,
1/8/2018,209.3099976,176.4850006,176.4850006,182.8450012,195.909996,168.9699936,195.909996,175.2949982,,,,,,
1/9/2018,212.5200043,186.4400024,190.5050049,182.8450012,195.909996,186.5299988,195.1750031,186.5299988,178.8699951,,,,,
1/10/2018,217.2400055,187.0699997,195.909996,195.909996,195.909996,181.3450012,184.7050018,176.7750015,176.7750015,184.7050018,,,,
1/11/2018,221.2299957,190.2350006,196.4049988,196.4049988,196.4049988,182.8450012,184.7050018,170.3699951,170.3699951,170.3699951,170.3699951,,,
1/12/2018,221.2299957,188.0850067,180.6500015,188.5800018,184.7050018,176.7750015,184.7050018,181.6800003,171.4499969,171.4499969,171.4499969,171.4499969,,
1/13/2018,221.2299957,188.0850067,193.2900009,170.3699951,170.3699951,170.3699951,170.3699951,170.3699951,171.4499969,178.5649948,178.5649948,178.5649948,178.5649948,
1/14/2018,221.2299957,188.0850067,193.2900009,176.3999939,171.4499969,171.4499969,171.4499969,171.4499969,177.1650009,178.5649948,191.2949982,191.2949982,192.2450027,191.2949982
1/15/2018,221.5299988,200.7250061,190.6949997,171.4499969,191.7249985,178.5649948,178.5649948,191.7249985,184.8849945,178.5649948,191.2949982,194.0049973,192.0699997,192.0699997
1/16/2018,217.5,170.3699951,194.3199997,171.4499969,191.7249985,192.8950043,185.2850037,191.2949982,191.2949982,191.2949982,191.2949982,194.0049973,189.4649963,192.0499954
1/17/2018,220.3300018,171.4499969,171.4499969,171.4499969,198.8899994,191.0699997,193.9550018,193.9550018,194.0049973,194.0049973,194.0049973,194.0049973,192.0499954,194.0049973
1/18/2018,220.4600067,191.7249985,191.7249985,178.5649948,191.7249985,191.0699997,192.0699997,192.0499954,192.0499954,192.0499954,192.0499954,196.2350006,192.0499954,194.0049973
1/19/2018,220.4600067,205.2249985,191.2949982,185.2850037,191.2949982,184.3349991,192.0699997,192.0499954,193.9550018,193.9550018,194.0049973,194.0049973,194.0049973,194.0049973
