Date, Open, High, Low, Close, Volume
11/01/19, 288.70, 289.12, 283.02, 286.81, 5594293
10/31/19, 291.00, 291.45, 284.78, 287.41, 5090021
10/30/19, 284.34, 293.49, 283.00, 291.45, 9345562
10/29/19, 281.87, 284.41, 277.545, 281.21, 4356181
10/28/19, 278.05, 285.75, 277.35, 281.86, 6248433
10/25/19, 270.68, 277.77, 270.18, 276.82, 4747829
10/24/19, 271.81, 274.02, 268.80, 271.50, 4911033
10/23/19, 268.06, 273.92, 266.63, 271.27, 7154430
10/22/19, 271.159, 275.41, 265.80, 266.69, 11865590
10/21/19, 272.89, 279.9399, 269.00, 278.05, 12633960
10/18/19, 289.36, 290.90, 273.36, 275.30, 23449641
10/17/19, 304.49, 308.75, 288.3001, 293.35, 38462340
10/16/19, 283.12, 288.17, 280.7431, 286.28, 18413340
10/15/19, 283.82, 285.87, 279.40, 284.25, 7728161
10/14/19, 283.93, 286.93, 282.00, 285.53, 5543120
10/11/19, 284.80, 287.87, 275.8947, 282.93, 8817301
10/10/19, 265.97, 280.53, 265.0337, 280.48, 10961190
10/09/19, 270.02, 271.00, 264.57, 267.53, 6843488
10/08/19, 273.03, 275.53, 270.6427, 270.72, 6302269
10/07/19, 271.99, 276.68, 271.28, 274.46, 6796811
10/04/19, 268.20, 275.4846, 266.47, 272.79, 9992774
10/03/19, 267.78, 268.843, 257.01, 268.15, 9068810
10/02/19, 263.61, 269.35, 262.19, 268.03, 7773299
10/01/19, 267.35, 272.20, 264.03, 269.58, 8786284
09/30/19, 264.00, 268.88, 262.78, 267.62, 6823100
09/27/19, 266.175, 267.44, 260.39, 263.08, 7367491
09/26/19, 266.42, 268.05, 260.20, 263.31, 7696858
09/25/19, 255.71, 266.60, 253.70, 264.75, 11846750
09/24/19, 262.50, 265.00, 252.28, 254.59, 16392811
09/23/19, 268.345, 273.39, 261.89, 265.92, 13610290
09/20/19, 280.26, 282.50, 266.00, 270.75, 23954189
09/19/19, 291.56, 293.81, 283.40, 286.60, 8545761
09/18/19, 294.99, 296.05, 287.45, 291.56, 7841539
09/17/19, 294.50, 299.15, 291.79, 298.60, 4817119
09/16/19, 294.23, 297.43, 289.78, 294.29, 5307386
09/13/19, 290.61, 296.62, 290.04, 294.15, 6583124
09/12/19, 288.10, 292.73, 286.60, 288.86, 5010927
09/11/19, 285.70, 292.65, 284.61, 288.27, 7405949
09/10/19, 291.16, 297.17, 282.6629, 287.99, 12320250
09/09/19, 294.81, 301.55, 290.60, 294.34, 8232744
09/06/19, 293.35, 293.35, 287.03, 290.17, 5166556
09/05/19, 285.32, 293.97, 282.785, 293.25, 8972356
09/04/19, 291.25, 292.38, 286.51, 291.52, 4653665
