Date, Open, High, Low, Close, Volume
12/04/17, 0.02, 0.02, 0.02, 0.02, 2500
11/28/17, 0.0119, 0.02, 0.0096, 0.02, 40300
11/21/17, 0.01, 0.0119, 0.0096, 0.0119, 30000
11/17/17, 0.0075, 0.0075, 0.0075, 0.0075, 15000
11/16/17, 0.0041, 0.012, 0.0041, 0.012, 395254
10/31/17, 0.0018, 0.0018, 0.0018, 0.0018, 170010
08/15/17, 0.0019, 0.0019, 0.0018, 0.0018, 15980
08/02/17, 0.0065, 0.0065, 0.0065, 0.0065, 100
06/29/17, 0.0018, 0.0018, 0.0018, 0.0018, 700
06/06/17, 0.0018, 0.0018, 0.0018, 0.0018, 120550
05/31/17, 0.0028, 0.0028, 0.0028, 0.0028, 4000
05/15/17, 0.0018, 0.0018, 0.0018, 0.0018, 30000
05/10/17, 0.003, 0.0031, 0.0017, 0.0017, 135000
05/03/17, 0.0041, 0.0041, 0.0041, 0.0041, 5000
05/02/17, 0.0031, 0.0031, 0.0031, 0.0031, 10000
04/28/17, 0.0075, 0.0075, 0.0075, 0.0075, 10000
04/26/17, 0.007, 0.0075, 0.007, 0.0075, 1000
04/24/17, 0.0033, 0.0033, 0.0033, 0.0033, 252015
04/07/17, 0.0095, 0.0095, 0.0095, 0.0095, 5000
03/13/17, 0.0095, 0.0095, 0.0095, 0.0095, 10000
03/09/17, 0.0095, 0.0095, 0.0095, 0.0095, 1000
02/15/17, 0.005, 0.005, 0.0037, 0.0037, 40200
12/30/16, 0.003, 0.003, 0.003, 0.003, 25000
10/04/16, 0.0029, 0.0029, 0.0029, 0.0029, 4000
08/24/16, 0.0029, 0.003, 0.0029, 0.003, 14000
07/26/16, 0.0037, 0.0037, 0.0025, 0.0025, 400
07/19/16, 0.005, 0.005, 0.005, 0.005, 152
07/05/16, 0.0027, 0.0027, 0.0027, 0.0027, 2000
05/18/16, 0.005, 0.005, 0.0048, 0.0048, 4000
05/16/16, 0.0027, 0.0027, 0.0027, 0.0027, 100
05/06/16, 0.0035, 0.0035, 0.0026, 0.0026, 44168
12/30/15, 0.008, 0.008, 0.003, 0.003, 50000
10/28/15, 0.01, 0.01, 0.008, 0.008, 30000
08/25/15, 0.015, 0.015, 0.0149, 0.0149, 200
08/14/15, 0.0136, 0.015, 0.0136, 0.015, 40000
08/13/15, 0.01, 0.0136, 0.01, 0.0101, 21800
07/30/15, 0.0062, 0.0062, 0.0062, 0.0062, 11000
07/23/15, 0.01, 0.01, 0.01, 0.01, 100
05/15/15, 0.0025, 0.0025, 0.0025, 0.0025, 75825
03/30/15, 0.0022, 0.0022, 0.0017, 0.0017, 2000
03/25/15, 0.01, 0.01, 0.002, 0.002, 20000
01/20/15, 0.0062, 0.0062, 0.0062, 0.0062, 100
12/17/14, 0.0062, 0.0062, 0.0062, 0.0062, 5000
12/15/14, 0.0062, 0.0062, 0.0062, 0.0062, 1000
12/12/14, 0.0062, 0.0062, 0.0062, 0.0062, 3000
07/22/14, 0.008, 0.008, 0.0062, 0.0062, 96500
07/07/14, 0.01, 0.01, 0.01, 0.01, 10000
07/02/14, 0.011, 0.011, 0.011, 0.011, 20000
06/09/14, 0.013, 0.013, 0.013, 0.013, 10000
05/20/14, 0.025, 0.025, 0.025, 0.025, 100
05/19/14, 0.015, 0.015, 0.015, 0.015, 12000
05/15/14, 0.015, 0.015, 0.015, 0.015, 25000
05/09/14, 0.015, 0.015, 0.015, 0.015, 6000
04/17/14, 0.015, 0.015, 0.015, 0.015, 1800
02/12/14, 0.02, 0.02, 0.02, 0.02, 60000
02/05/14, 0.02, 0.02, 0.02, 0.02, 70000
01/31/14, 0.03, 0.03, 0.03, 0.03, 5000
01/21/14, 0.03, 0.03, 0.03, 0.03, 10000
01/08/14, 0.013, 0.02, 0.013, 0.02, 85000
01/07/14, 0.0055, 0.0055, 0.0055, 0.0055, 8000
01/03/14, 0.012, 0.013, 0.012, 0.013, 40000
12/31/13, 0.013, 0.013, 0.013, 0.013, 10000
12/26/13, 0.0035, 0.0035, 0.0035, 0.0035, 32500
12/17/13, 0.0035, 0.0035, 0.0035, 0.0035, 3000
12/09/13, 0.0035, 0.0035, 0.0035, 0.0035, 9200
11/26/13, 0.0023, 0.0023, 0.0023, 0.0023, 5200
10/31/13, 0.0051, 0.015, 0.0023, 0.0023, 52435
10/21/13, 0.0023, 0.0023, 0.0023, 0.0023, 30000
09/11/13, 0.0022, 0.0022, 0.0022, 0.0022, 4000
09/10/13, 0.03, 0.03, 0.03, 0.03, 600
07/25/13, 0.0021, 0.0021, 0.0021, 0.0021, 4500
06/24/13, 0.0021, 0.0021, 0.0021, 0.0021, 10000
06/11/13, 0.0021, 0.0021, 0.0021, 0.0021, 2100
06/05/13, 0.0012, 0.0012, 0.0012, 0.0012, 2155
04/26/13, 0.035, 0.035, 0.035, 0.035, 5000
04/25/13, 0.0011, 0.0011, 0.0011, 0.0011, 500
04/08/13, 0.03, 0.03, 0.03, 0.03, 14500
03/20/13, 0.03, 0.03, 0.03, 0.03, 42000
03/19/13, 0.03, 0.035, 0.03, 0.035, 3800
03/15/13, 0.03, 0.04, 0.03, 0.04, 4300
03/14/13, 0.03, 0.03, 0.03, 0.03, 500
03/12/13, 0.03, 0.03, 0.03, 0.03, 60000
02/25/13, 0.03, 0.03, 0.03, 0.03, 200
02/21/13, 0.03, 0.03, 0.03, 0.03, 32000
02/15/13, 0.045, 0.045, 0.03, 0.04, 59533
02/14/13, 0.03, 0.045, 0.03, 0.045, 22415
02/11/13, 0.044, 0.047, 0.044, 0.047, 16100
02/08/13, 0.044, 0.044, 0.04, 0.04, 36500
02/07/13, 0.026, 0.026, 0.026, 0.026, 49335
02/06/13, 0.025, 0.025, 0.025, 0.025, 25040
02/05/13, 0.05, 0.05, 0.04, 0.04, 31000
01/31/13, 0.045, 0.05, 0.045, 0.05, 9315
01/30/13, 0.03, 0.04, 0.03, 0.04, 30500
01/25/13, 0.0055, 0.02, 0.0055, 0.02, 224000
12/13/12, 0.0032, 0.0032, 0.003, 0.003, 530000
12/07/12, 0.0034, 0.0035, 0.0032, 0.0032, 261040
11/21/12, 0.003, 0.0032, 0.003, 0.0032, 30000
10/23/12, 0.0005, 0.0005, 0.0005, 0.0005, 30000
10/01/12, 0.0042, 0.0042, 0.0042, 0.0042, 400
09/28/12, 0.0042, 0.0042, 0.0042, 0.0042, 15000
09/11/12, 0.005, 0.005, 0.005, 0.005, 15000
08/13/12, 0.0046, 0.0046, 0.0046, 0.0046, 500
08/06/12, 0.01, 0.01, 0.005, 0.005, 15000
07/31/12, 0.015, 0.015, 0.015, 0.015, 5000
07/05/12, 0.02, 0.02, 0.02, 0.02, 5000
06/22/12, 0.03, 0.03, 0.03, 0.03, 5000
06/19/12, 0.03, 0.03, 0.03, 0.03, 5000
06/06/12, 0.035, 0.035, 0.035, 0.035, 5000
