date,close_price,^3 day_1_pred,^3 day_2_pred,^3 day_3_pred,^3 day_4_pred,^3 day_5_pred,^3 day_6_pred,^3 day_7_pred,^3 day_8_pred,^3 day_9_pred,^3 day_10_pred,^3 day_11_pred,^3 day_12_pred,^3 day_13_pred
1/1/2018,201.0700073,,,,,,,,,,,,,
1/2/2018,205.0500031,187.8663853,,,,,,,,,,,,
1/3/2018,205.6300049,185.8186759,185.1756155,,,,,,,,,,,
1/4/2018,209.9900055,186.5133187,188.6693215,188.4381277,,,,,,,,,,
1/5/2018,209.9900055,185.7900812,185.9253753,188.2273888,186.9107712,,,,,,,,,
1/6/2018,209.9900055,187.4760768,184.6483916,184.0410019,185.2000873,182.342211,,,,,,,,
1/7/2018,212.0500031,187.2025517,182.8730216,185.5481267,184.8205533,187.6671271,186.8373096,,,,,,,
1/8/2018,209.3099976,184.5760518,185.2829182,187.3213182,185.8000404,184.3002967,187.1040636,185.5977981,,,,,,
1/9/2018,212.5200043,187.7474632,186.8598134,186.9576377,187.0906451,194.6256032,188.7539143,191.4472622,190.9464,,,,,
1/10/2018,217.2400055,184.8058647,188.0324272,185.7735037,186.9182254,191.1555016,188.95896,187.748243,190.32117,189.9981528,,,,
1/11/2018,221.2299957,193.2786176,192.6301368,198.8103589,194.6681927,192.8979369,188.647441,183.2628017,182.8776713,185.0524965,183.442552,,,
1/12/2018,221.2299957,192.1932224,190.03721,186.8683602,190.3069908,189.3044689,188.9754283,183.7774228,185.216097,184.6251245,183.6518073,185.9969878,,
1/13/2018,221.2299957,187.8754035,185.417688,184.3402614,180.5322519,184.0473401,182.2157528,183.8436986,184.4094063,187.0282827,187.4612299,189.5660938,188.5627503,
1/14/2018,221.2299957,188.8930331,184.9796533,164.5836559,182.2625371,182.260151,181.5354373,179.6599366,181.5019013,189.106615,190.748622,198.1288991,191.8872097,197.7649999
1/15/2018,221.5299988,188.284356,186.3081209,181.6254557,190.1052099,189.5602932,187.1831311,189.2984194,188.4252889,188.6628582,190.1259343,194.9000829,200.37697,193.60737
1/16/2018,217.5,185.6144194,185.4444313,180.2839483,191.3037829,184.5043763,187.7270902,180.599501,174.3043154,183.5712362,185.5835627,197.6374732,201.2290116,202.318042
1/17/2018,220.3300018,178.7798825,173.2612443,183.1887857,190.6307416,189.3961368,196.6775285,196.1041951,192.7564726,188.4071089,196.0718473,193.0263658,205.8299482,199.7500205
1/18/2018,220.4600067,192.5778529,190.3671474,189.9780952,191.4761427,183.2804025,198.2534589,203.8865913,206.1135608,204.4606053,205.3500928,206.9552056,203.2891031,201.6308703
1/19/2018,220.4600067,199.3157553,175.2645679,187.252129,179.587507,182.1798787,191.2923674,208.7552302,200.5454775,200.4062342,199.3483849,198.3213626,202.4780377,197.2067032
1/20/2018,220.4600067,188.1369634,199.4437612,189.2747187,193.3345224,192.7626824,191.7208465,204.9519901,202.9468459,205.2956606,205.3208578,205.7172223,208.7977328,208.0615604
1/21/2018,227.5800018,188.2645842,196.4612358,202.0961413,206.3595142,201.1020896,202.7644479,204.8485685,197.0911417,207.0035718,205.9181118,211.4497481,212.7862334,207.256167
1/22/2018,250.2899933,193.6763441,197.0743763,205.9354004,202.2560466,196.0529794,193.5777029,194.5365915,194.724843,202.8708806,210.3886592,184.5871786,192.1447781,196.5223717
1/23/2018,261.2999878,200.3933395,201.8480162,204.0240918,201.3313032,204.4805291,204.1605147,197.2098339,198.6836349,199.5715318,212.2916467,192.3822689,204.9881874,205.4397803
1/24/2018,269.7000122,231.4606399,209.5497009,193.6694457,201.3853176,205.2533437,207.7030611,207.7439094,210.9200915,212.6067657,208.5799332,202.250829,212.6270208,186.5000531
1/25/2018,274.6000061,221.3818196,227.7974984,206.2897546,194.5364015,205.709646,205.7899074,206.9757559,197.9693557,177.2054725,180.9456161,185.5263902,202.5181125,205.1779659
1/26/2018,274.6000061,225.2997746,229.5703765,208.8523477,199.4543939,203.9612638,205.3335878,208.49452,204.4115377,195.8783004,193.138296,195.1034121,196.0813087,202.8587918
1/27/2018,274.6000061,227.4756462,220.9101293,203.1194798,246.3316937,214.0158702,184.0552853,193.9805659,205.9909338,206.9585404,184.393069,181.8195208,181.8545844,194.9821066
1/28/2018,284.5899963,212.1757137,236.710794,263.7712568,236.3485686,252.7912161,217.3307061,194.7839924,207.133089,204.7830329,218.2683106,174.552683,230.1394159,229.9066719
