date,close_price,r_day_1_pred,r_day_2_pred,r_day_3_pred,r_day_4_pred,r_day_5_pred,r_day_6_pred,r_day_7_pred,r_day_8_pred,r_day_9_pred,r_day_10_pred,r_day_11_pred,r_day_12_pred,r_day_13_pred
1/1/2018,201.0700073,,,,,,,,,,,,,
1/2/2018,205.0500031,187.0518061,,,,,,,,,,,,
1/3/2018,205.6300049,189.5670655,189.4191223,,,,,,,,,,,
1/4/2018,209.9900055,187.5763516,188.7266094,188.3064192,,,,,,,,,,
1/5/2018,209.9900055,187.6544174,187.4551667,188.5248386,188.0447862,,,,,,,,,
1/6/2018,209.9900055,188.1937761,185.4016149,185.353702,185.651995,185.5725277,,,,,,,,
1/7/2018,212.0500031,188.2422498,186.5612322,187.3777004,186.9196358,188.0894091,187.7315662,,,,,,,
1/8/2018,209.3099976,186.5846977,186.0775153,187.6572343,186.7261388,186.417223,187.3794279,187.0113677,,,,,,
1/9/2018,212.5200043,188.1259831,187.9097577,187.8770269,187.3831267,189.1203363,188.3093855,189.731099,189.3754379,,,,,
1/10/2018,217.2400055,187.0449675,188.0005109,187.6445975,187.1757877,189.5116484,186.1528534,185.8338101,186.6016893,186.3099276,,,,
1/11/2018,221.2299957,189.9218359,189.0136157,189.83663,189.5289196,189.2549648,187.1873071,184.3837954,184.2125129,185.0260725,184.6319234,,,
1/12/2018,221.2299957,187.4970467,187.4432794,186.4655874,187.7513686,187.2722643,186.4447666,185.1166102,193.8954801,192.4763373,194.196184,194.1955305,,
1/13/2018,221.2299957,188.1482586,185.7398862,185.6165254,184.7358053,185.8344911,185.4400041,184.8130973,193.7255092,188.8985183,188.6763732,189.8341391,189.3289896,
1/14/2018,221.2299957,187.7148039,186.4744712,196.3681628,193.9635142,193.4721402,193.1802313,193.2123916,194.133479,189.398516,199.0746326,198.0142079,199.955869,199.6811446
1/15/2018,221.5299988,188.0868257,186.253889,194.4082631,190.8174106,190.306347,189.3582186,190.2447095,189.9164853,189.5226025,198.8471111,201.0379991,200.253872,202.1765697
1/16/2018,217.5,186.4625827,186.6651538,193.5814674,191.3399693,202.1789858,199.8749549,199.170431,198.901168,198.9212982,199.79518,201.1647338,199.924182,199.6027513
1/17/2018,220.3300018,195.4101974,194.3266204,193.7814874,191.1856337,200.7377593,204.2316108,202.4671196,201.4554177,201.6994569,201.5432712,201.8571008,200.62392,204.9499332
1/18/2018,220.4600067,192.7751457,192.2896084,191.3038065,191.658207,200.2973407,203.5296533,202.8203086,202.014929,200.7499518,201.6453105,201.2658292,200.8494038,205.2693359
1/19/2018,220.4600067,201.5882146,201.1861601,201.7746732,200.6225423,200.5812221,203.1625884,203.2051776,208.4307866,206.6876108,205.440107,205.9438311,205.687051,205.7326321
1/20/2018,220.4600067,203.810855,204.8315775,204.6861994,204.6643028,203.4036693,203.5931053,203.0254831,207.8073362,209.9411048,208.3698459,206.9629758,207.7283848,207.3770285
1/21/2018,227.5800018,200.7204813,206.0980804,205.1480885,205.2045266,204.3299758,203.0758707,203.4921556,207.2807385,209.5133348,206.1532055,205.7309795,204.3499614,205.4919728
1/22/2018,250.2899933,204.4234482,204.3525244,204.8006052,209.4080528,209.205061,209.0958944,207.6580907,207.8331347,208.8961505,206.6922396,212.919946,210.5322925,209.2203281
1/23/2018,261.2999878,205.9550061,205.3084571,205.2121849,210.5959623,211.3650592,211.120214,210.8856238,209.3551345,209.5244357,206.4503007,211.303617,214.6516218,212.7353421
1/24/2018,269.7000122,211.7602331,210.8675491,209.109967,208.8196362,212.3004782,209.5682353,209.0433062,207.7888185,206.4929729,206.6457909,210.1129973,213.9895244,219.6576119
1/25/2018,274.6000061,214.0472075,213.5694528,212.8696167,211.227244,210.77107,208.210545,213.027197,211.9830799,212.8072678,211.1252929,210.7005076,213.5034355,218.3332128
1/26/2018,274.6000061,211.52969,210.9535544,210.0391659,209.7518833,209.4341884,209.2446393,215.5138524,215.8277582,215.7153059,215.3630273,213.7957403,214.0722683,217.5077443
1/27/2018,274.6000061,210.7526682,217.0534758,216.1960464,216.8070852,215.1156068,212.2812025,211.368096,216.9133569,220.5030384,219.7459998,219.7982427,218.087516,217.9564183
1/28/2018,284.5899963,209.995671,217.115918,219.676416,218.576441,218.2293571,217.243579,215.3987857,215.1982029,222.1077222,222.0379267,220.7305055,219.0908731,217.8144768
1/29/2018,278.7999878,216.4812277,216.8294639,218.5512508,224.3073693,223.3971927,223.6846114,222.0174554,219.5589359,219.0965433,220.144662,216.813971,216.4249244,214.5647888
1/30/2018,270.2999878,222.1483562,219.8527546,217.8451751,223.9626705,222.4601761,222.611072,222.7723248,221.0355235,220.3767592,220.7902627,214.8036191,218.6513015,218.6018959
2/1/2018,267.4299927,229.6743504,226.8363454,224.5101229,223.4376588,223.0926819,218.4110186,217.896927,216.9272449,216.4184296,216.2910651,216.5577801,218.2322989,219.2140127
2/2/2018,267.4299927,226.3376048,227.8788861,227.8193538,225.4384756,222.5086941,217.5286888,221.7426277,220.757707,219.9206551,219.2709527,218.2584802,218.3286118,217.5835527
2/3/2018,267.4299927,223.5456135,227.9324054,221.5127369,222.4569696,220.0645234,216.6254164,220.397079,221.0452204,220.4671143,219.6427512,218.9062644,218.506743,218.9361843
2/4/2018,254.2599945,221.261888,226.7204204,228.8247327,224.8158751,225.0200435,222.5213721,219.4920428,220.0964279,227.4728903,226.7433922,227.161195,225.0131446,222.8264604
2/5/2018,265.7200012,226.3578756,225.0270199,226.4630204,234.4371427,224.1589708,225.442395,222.9263438,219.1846533,226.7274723,245.049303,245.3480562,245.078035,242.70066
2/6/2018,264.5599976,229.0742908,225.511674,224.1978749,234.5231245,258.5614309,231.0402425,233.0901063,230.3475802,226.0370209,244.6942475,262.2213809,261.2139654,262.7836087
2/7/2018,250.1000061,241.243653,236.439958,233.8650244,232.8735962,254.1505983,277.3054106,248.5474941,256.2129675,252.3728284,243.4492228,262.4830081,270.1001862,269.0030573
2/8/2018,249.4700012,259.7677759,265.6568889,257.2024807,251.3307669,249.4178438,274.7134244,286.6522857,271.2125978,268.0231467,264.2130425,261.8351981,270.0166943,273.7339961
2/9/2018,249.4700012,285.1896506,284.1338645,281.106879,275.5899008,272.9620905,273.0373188,282.6301672,285.4400038,279.2995674,276.107353,271.9069119,269.086836,271.4399306
2/10/2018,249.4700012,282.4253321,293.9315284,293.6446949,290.4422921,284.3251505,280.6003204,280.2743432,282.9707919,301.3931292,279.9765446,279.14432,274.4602908,269.8547376
2/11/2018,257.9500122,279.8244435,289.951616,295.4916568,293.0794816,294.3748273,287.4926812,282.1368293,280.1342963,297.9593657,294.9231554,294.0974052,290.9629889,286.1611938
2/12/2018,258.269989,300.1247487,289.3152424,291.4173245,311.0596838,309.5468041,307.0821591,300.0682567,296.0280761,295.5212814,289.9827292,291.5929209,286.8677732,284.4154341
2/13/2018,266,291.6798834,298.2823096,293.0853188,307.1707026,302.3829464,302.1912277,300.1221293,293.2068056,288.0020175,286.8399357,281.5682632,280.5275941,278.6940714
2/14/2018,280.269989,309.5549885,310.7426186,318.8738564,305.6135053,297.2344037,292.2464628,296.0018998,291.0657533,284.0657925,277.7454355,276.9421915,275.3932379,281.7385787
2/15/2018,278.519989,298.2510391,301.0170407,298.5424986,305.8123586,299.0313656,284.220708,286.2242898,286.8988444,284.619571,278.5445305,273.5383378,272.3674022,278.554106
2/16/2018,278.519989,286.252876,287.3681066,290.5569151,284.1729428,291.0081615,289.6192223,281.1068802,289.8544409,289.474332,287.379649,281.6751761,277.4254064,276.3454195
2/17/2018,278.519989,289.4314878,280.8119981,282.618242,285.2892324,281.63193,287.9004839,283.9353568,286.0016185,279.1100935,286.6106269,275.1555404,270.1922974,266.2311144
2/18/2018,278.519989,289.861483,281.725751,284.0515184,286.2939119,289.4529891,287.3977056,293.8289099,287.2785578,271.4542217,300.2532663,305.9293712,290.1874735,287.3108462
2/19/2018,278.5499878,283.1839887,283.0329847,284.298972,271.8638154,272.3543357,279.0818557,274.1999013,280.8659996,275.1327251,297.5107788,285.3911892,286.1189843,283.9736276
2/20/2018,281.0400085,282.1818915,278.0695301,285.5952471,277.5960162,289.2271399,291.6148314,303.1214889,306.4596977,314.6757532,293.120301,280.2056346,273.1987775,282.8806934
2/21/2018,278.1400146,281.8711746,284.6146895,281.3674132,274.4466749,294.4377447,280.211068,281.8958933,284.4964273,280.4752831,286.6409577,283.3647875,263.7016582,274.4645838
2/22/2018,285.9299927,268.7970486,268.7647222,271.2395452,268.9907727,288.7792437,281.0540979,267.0261665,266.3880645,273.0603277,264.8352796,271.0390983,270.4555591,267.4564452
2/23/2018,285.9299927,279.5174388,285.2659363,281.9673123,283.0642145,286.2803778,282.4367344,273.7208095,266.3176857,267.5433486,273.9033128,271.4636919,278.2647399,268.9799349
2/24/2018,285.9299927,279.5247225,277.0184535,278.5384565,278.7550757,281.7952259,277.5442922,270.2865974,272.2285223,275.2958686,277.1510323,282.0404985,280.6446584,286.8433418
2/25/2018,294.1600037,282.2284228,277.4581743,257.8807357,263.9489222,264.7005376,267.8472728,264.4336559,268.8800473,276.6637093,273.9423391,275.5381728,278.4478936,275.0640918
2/26/2018,290.6099854,280.0610242,279.8151972,264.117754,257.2536847,263.1698801,262.9129973,264.4470289,262.9881401,276.2160133,274.2272095,282.7454389,285.1737845,288.6870938
2/27/2018,291.3800049,265.411011,267.5759784,268.3069745,261.8567638,271.0611376,273.1774408,272.1645034,274.4975078,272.8010807,275.4343543,283.4518765,300.2339538,302.8706694
